"","Code","Ground.Northing..m.","Ground.Easting..m.","Elevation..m.","Easting.SP","Northing.SP","Long","Lat"
"156","transect5",2152.182,2081.618,10.297,256523.35509959,183955.497690324,-73.3248137060614,41.1160227047238
"157","transect5",2152.233,2080.986,10.269,256523.284205805,183956.128366636,-73.3248145990184,41.1160283809165
"158","transect5",2152.29,2080.747,10.24,256523.29440485,183956.374063676,-73.3248144966313,41.1160305944884
"159","transect5",2151.984,2081.535,10.293,256523.144918156,183955.541450075,-73.324816211906,41.116023086317
"160","transect5",2151.676,2082.995,10.38,256523.122063658,183954.048211583,-73.324816368272,41.1160096355367
"161","transect5",2151.284,2084.003,10.419,256522.930284202,183952.983033905,-73.3248185690644,41.1160000301648
"162","transect5",2151.628,2083.839,10.412,256523.236469959,183953.209816812,-73.3248149411477,41.1160020910466
"163","rand",2197.223,2063.271,10.032,256564.04316422,183982.119744259,-73.3243313311778,41.1162649149376
"164","rand",2197.106,2063.821,10.164,256564.033600229,183981.557037289,-73.3243314014319,41.1162598461341
"165","rand",2133.341,2064.78,10.048,256501.644185069,183968.445315331,-73.3250732031612,41.1161380264888
"166","rand",2133.688,2080.151,10.316,256504.926112835,183953.409459495,-73.3250329625696,41.1160027962737
"167","transect6",2278.14,2058.827,10.091,256642.597033208,184001.928940929,-73.3233975920894,41.1164480227596
"168","transect6",2278.063,2058.429,9.983,256642.445310897,184002.30528243,-73.3233994276895,41.1164514033652
"169","transect6",2278.058,2058.565,10.016,256642.46642951,184002.170707538,-73.3233991658169,41.1164501925262
"170","transect6",2278.237,2059.389,10.122,256642.799764881,184001.395285633,-73.3233951369703,41.1164432282927
"171","transect6",2278.783,2061.207,10.123,256643.683452437,183999.713295666,-73.3233844852759,41.1164281315618
"172","transect6",2278.923,2061.599,10.2,256643.895848812,183999.354872694,-73.3233819286698,41.1164249159677
"173","transect6",2278.843,2061.314,10.146,256643.762806415,183999.619618611,-73.3233835332141,41.1164272925606
"174","transect6",2279.246,2062.015,10.353,256644.292416724,183999.007795013,-73.3233771801684,41.1164218135524
"175","transect6",2279.21,2061.831,10.301,256644.221879252,183999.181705315,-73.3233780334785,41.1164233757309
"176","transect6",2279.564,2062.369,10.438,256644.672213708,183998.72067838,-73.3233726359918,41.1164192501979
"177","transect6",2279.354,2062.094,10.384,256644.413515238,183998.950788852,-73.3233757339321,41.1164213073332
"178","transect6",2279.41,2062.293,10.43,256644.506549235,183998.765957963,-73.3233746119284,41.1164196481371
"179","transect6",2279.391,2062.214,10.409,256644.472786891,183998.839949703,-73.3233750196433,41.1164203125564
"180","transect6",2279.064,2061.579,10.2,256644.030385629,183999.401432528,-73.3233803304626,41.1164253433568
"181","transect6",2279.099,2061.714,10.25,256644.090565092,183999.275474109,-73.3233796041933,41.1164242124569
"182","transect6",2279.067,2061.667,10.235,256644.050169341,183999.315544657,-73.3233800882573,41.1164245709562
"183","pt1",2160.132,2069.695,10.584,256528.874875493,183968.729345681,-73.3247490123598,41.1161422100928
"184","pt1",2160.136,2069.697,10.583,256528.879183437,183968.728144069,-73.3247489609756,41.1161421995271
