Icon	#	Point From	Point To	Reflector Height (m)	Azimuth	Horizontal Circle	Slope Distance (m)	Zenith Angle	Date	Note	Code	Type	SDist Residual (m)	ZAngle Residual	Azimuth Residual	Cross Residual (m)	HAngle Residual
 	150	1	151	1.983	 	"26°11'14.0000"""	170.971	"89°59'26.0000"""	 	 	transect5	SS	 	 	 	 	 
 	151	1	152	1.983	 	"26°03'31.0000"""	170.959	"89°59'49.0000"""	 	 	transect5	SS	 	 	 	 	 
 	152	1	153	1.983	 	"26°34'47.0000"""	171.357	"89°59'15.0000"""	 	 	transect5	SS	 	 	 	 	 
 	153	1	154	1.983	 	"27°40'51.0000"""	172.289	"89°57'26.0000"""	 	 	transect5	SS	 	 	 	 	 
 	154	1	155	1.983	 	"28°31'17.0000"""	172.838	"89°53'28.0000"""	 	 	transect5	SS	 	 	 	 	 
 	155	1	156	1.983	 	"28°12'20.0000"""	172.688	"89°54'28.0000"""	 	 	transect5	SS	 	 	 	 	 
 	156	1	157	1.983	 	"28°00'44.0000"""	172.435	"89°55'01.0000"""	 	 	transect5	SS	 	 	 	 	 
 	157	1	158	1.983	 	"27°56'00.0000"""	172.373	"89°55'36.0000"""	 	 	transect5	SS	 	 	 	 	 
 	158	1	159	1.983	 	"28°12'44.0000"""	172.474	"89°54'33.0000"""	 	 	transect5	SS	 	 	 	 	 
 	159	1	160	1.983	 	"28°41'13.0000"""	172.898	"89°52'50.0000"""	 	 	transect5	SS	 	 	 	 	 
 	160	1	161	1.983	 	"29°02'31.0000"""	173.041	"89°52'04.0000"""	 	 	transect5	SS	 	 	 	 	 
 	161	1	162	1.983	 	"28°56'22.0000"""	173.264	"89°52'12.0000"""	 	 	transect5	SS	 	 	 	 	 
 	162	1	163	1.983	 	"17°47'13.0000"""	207.123	"89°59'48.0000"""	 	 	rand	SS	 	 	 	 	 
 	163	1	164	1.983	 	"17°56'29.0000"""	207.181	"89°57'36.0000"""	 	 	rand	SS	 	 	 	 	 
 	164	1	165	1.483	 	"25°54'42.0000"""	148.244	"90°10'55.0000"""	 	 	rand	SS	 	 	 	 	 
 	165	1	166	1.983	 	"30°56'39.0000"""	155.874	"89°53'26.0000"""	 	 	rand	SS	 	 	 	 	 
 	166	1	167	1.983	 	"11°56'32.0000"""	284.293	"89°59'11.0000"""	 	 	transect6	SS	 	 	 	 	 
 	167	1	168	1.983	 	"11°52'00.0000"""	284.135	"90°00'28.0000"""	 	 	transect6	SS	 	 	 	 	 
 	168	1	169	1.983	 	"11°53'38.0000"""	284.159	"90°00'05.0000"""	 	 	transect6	SS	 	 	 	 	 
 	169	1	170	1.983	 	"12°02'56.0000"""	284.505	"89°58'48.0000"""	 	 	transect6	SS	 	 	 	 	 
 	170	1	171	1.983	 	"12°22'58.0000"""	285.423	"89°58'48.0000"""	 	 	transect6	SS	 	 	 	 	 
 	171	1	172	1.983	 	"12°27'13.0000"""	285.644	"89°57'52.0000"""	 	 	transect6	SS	 	 	 	 	 
 	172	1	173	1.983	 	"12°24'04.0000"""	285.505	"89°58'31.0000"""	 	 	transect6	SS	 	 	 	 	 
 	173	1	174	1.983	 	"12°31'16.0000"""	286.05	"89°56'02.0000"""	 	 	transect6	SS	 	 	 	 	 
 	174	1	175	1.983	 	"12°29'12.0000"""	285.974	"89°56'39.0000"""	 	 	transect6	SS	 	 	 	 	 
 	175	1	176	1.983	 	"12°34'35.0000"""	286.437	"89°55'01.0000"""	 	 	transect6	SS	 	 	 	 	 
 	176	1	177	1.983	 	"12°31'54.0000"""	286.172	"89°55'40.0000"""	 	 	transect6	SS	 	 	 	 	 
 	177	1	178	1.983	 	"12°34'06.0000"""	286.27	"89°55'07.0000"""	 	 	transect6	SS	 	 	 	 	 
 	178	1	179	1.983	 	"12°33'13.0000"""	286.234	"89°55'22.0000"""	 	 	transect6	SS	 	 	 	 	 
 	179	1	180	1.983	 	"12°26'37.0000"""	285.777	"89°57'52.0000"""	 	 	transect6	SS	 	 	 	 	 
 	180	1	181	1.983	 	"12°28'07.0000"""	285.841	"89°57'16.0000"""	 	 	transect6	SS	 	 	 	 	 
 	181	1	182	1.983	 	"12°27'39.0000"""	285.799	"89°57'27.0000"""	 	 	transect6	SS	 	 	 	 	 
 	182	1	183	1.983	 	"23°31'13.0000"""	174.642	"89°48'52.0000"""	 	 	pt1	SS	 	 	 	 	 
 	183	1	184	1.983	 	"23°31'13.0000"""	174.647	"89°48'54.0000"""	 	 	pt1	SS
